epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.873,2.371,3.14202,2.19909,0.00479,0.14435,0.00413,0.00155,3.57293,55.0476,4.10344,0.000414439,0.000414439,0.000414439
2,256.788,2.50134,3.04741,2.31028,0.51005,0.07143,0.01873,0.00504,3.13759,4.99233,3.22475,0.000814649,0.000814649,0.000814649
3,390.955,2.48952,2.95707,2.25338,0.38006,0.18969,0.16486,0.06174,2.47134,3.1756,2.50781,0.00119836,0.00119836,0.00119836
4,526.244,2.40547,2.88035,2.25577,0.57335,0.26846,0.24785,0.09909,2.43174,3.5974,2.57153,0.00117575,0.00117575,0.00117575
5,668.818,2.3599,2.79321,2.19573,0.78858,0.18086,0.2623,0.11424,2.12688,3.07452,2.27867,0.001151,0.001151,0.001151
6,806.644,2.30024,2.71375,2.14011,0.7026,0.32796,0.33687,0.13344,2.34051,2.53407,2.3407,0.00112625,0.00112625,0.00112625
7,959.317,2.32129,2.62767,2.1246,0.61605,0.30534,0.3169,0.10207,2.19877,2.52477,2.34912,0.0011015,0.0011015,0.0011015
8,1099.89,2.24414,2.49561,2.08169,0.35895,0.30103,0.36739,0.1451,2.13998,2.8218,2.2403,0.00107675,0.00107675,0.00107675
9,1246.71,2.22823,2.43885,2.06336,0.77154,0.27868,0.38622,0.17138,1.89679,2.1241,2.04036,0.001052,0.001052,0.001052
10,1393.07,2.19344,2.41844,2.04124,0.34372,0.39974,0.389,0.15794,2.00188,2.13657,2.14494,0.00102725,0.00102725,0.00102725
11,1528.19,2.16573,2.33236,2.01428,0.56072,0.41523,0.40975,0.16159,2.2224,2.11404,2.28504,0.0010025,0.0010025,0.0010025
12,1663.29,2.16852,2.26742,2.01707,0.48325,0.36772,0.40417,0.18499,2.15643,2.16667,2.26511,0.00097775,0.00097775,0.00097775
13,1793.12,2.16082,2.28011,2.02137,0.37172,0.44155,0.44373,0.16208,2.03913,2.36067,2.22629,0.000953,0.000953,0.000953
14,1929.77,2.12979,2.26571,2.00256,0.60976,0.40733,0.46988,0.18727,2.1698,2.16687,2.23085,0.00092825,0.00092825,0.00092825
15,2072.12,2.10523,2.21995,1.99992,0.56565,0.48328,0.52258,0.20483,2.06637,1.97942,2.1465,0.0009035,0.0009035,0.0009035
16,2222.99,2.07797,2.13458,1.95225,0.55426,0.47716,0.52578,0.22628,1.9874,2.07606,2.16847,0.00087875,0.00087875,0.00087875
17,2379.17,2.06287,2.13302,1.95684,0.69093,0.45937,0.55534,0.2169,1.93161,1.93903,2.10004,0.000854,0.000854,0.000854
18,2518.28,2.06718,2.11543,1.95477,0.5596,0.4996,0.52467,0.22546,2.03303,2.01581,2.20103,0.00082925,0.00082925,0.00082925
19,2660.01,2.05823,2.04948,1.92186,0.73057,0.42244,0.5359,0.21141,2.16842,1.99132,2.24275,0.0008045,0.0008045,0.0008045
20,2789.58,2.02628,2.03399,1.934,0.74173,0.46904,0.54632,0.24648,1.99384,1.94904,2.16235,0.00077975,0.00077975,0.00077975
21,2943.98,2.01853,2.00092,1.9017,0.73865,0.50299,0.61431,0.28843,1.97475,1.85531,2.03519,0.000755,0.000755,0.000755
22,3085.53,2.00241,1.93988,1.89929,0.62771,0.54951,0.61191,0.26869,1.93176,1.94496,2.12067,0.00073025,0.00073025,0.00073025
23,3226.83,1.99331,1.97132,1.91225,0.74851,0.58176,0.67408,0.31396,1.95874,1.55541,2.10428,0.0007055,0.0007055,0.0007055
24,3380.31,1.95566,1.86057,1.87015,0.66559,0.57417,0.65068,0.33504,1.91839,1.63058,2.07328,0.00068075,0.00068075,0.00068075
25,3521.79,1.97414,1.87583,1.88428,0.70371,0.5745,0.65124,0.27215,1.85279,1.69878,2.06942,0.000656,0.000656,0.000656
26,3658.43,1.95922,1.8405,1.87799,0.63866,0.53736,0.63711,0.29523,1.84852,1.64169,2.03399,0.00063125,0.00063125,0.00063125
27,3794.49,1.93766,1.8079,1.86786,0.82858,0.59454,0.73961,0.33832,2.21002,1.90016,2.33506,0.0006065,0.0006065,0.0006065
28,3941.37,1.95502,1.7953,1.87808,0.78839,0.48789,0.6589,0.29811,1.92158,1.53584,2.04963,0.00058175,0.00058175,0.00058175
29,4078.46,1.92142,1.76145,1.82832,0.71201,0.59646,0.66278,0.30392,2.08139,1.72024,2.199,0.000557,0.000557,0.000557
30,4221.2,1.90427,1.75397,1.82331,0.79487,0.57927,0.70139,0.35603,1.8504,1.43146,2.04008,0.00053225,0.00053225,0.00053225
31,4357.95,1.90567,1.73369,1.83227,0.73246,0.55305,0.68697,0.36719,1.82473,1.52515,2.05105,0.0005075,0.0005075,0.0005075
32,4493.39,1.89753,1.68996,1.81788,0.7399,0.62594,0.72262,0.3745,1.80278,1.53785,1.98051,0.00048275,0.00048275,0.00048275
33,4637.75,1.88217,1.6694,1.80385,0.7515,0.6171,0.73438,0.36479,1.9665,1.55749,2.07546,0.000458,0.000458,0.000458
34,4766.92,1.86698,1.62665,1.81444,0.8104,0.78798,0.82741,0.40328,1.97119,1.22042,2.04772,0.00043325,0.00043325,0.00043325
35,4920.73,1.82257,1.55153,1.77425,0.77638,0.6927,0.80906,0.40864,1.81608,1.48111,1.97729,0.0004085,0.0004085,0.0004085
36,5067.19,1.83513,1.57325,1.78382,0.78316,0.70918,0.7801,0.37574,1.79486,1.38322,1.99579,0.00038375,0.00038375,0.00038375
37,5208.35,1.79968,1.52253,1.75369,0.65356,0.78162,0.78297,0.39149,1.79372,1.28748,1.97958,0.000359,0.000359,0.000359
38,5344.56,1.77713,1.47334,1.74402,0.77291,0.7585,0.81973,0.41204,1.98801,1.17166,2.16048,0.00033425,0.00033425,0.00033425
39,5496.17,1.75879,1.46437,1.75937,0.80288,0.69152,0.81833,0.44453,1.78839,1.33085,2.02268,0.0003095,0.0003095,0.0003095
40,5647.85,1.74717,1.41506,1.73359,0.74442,0.67439,0.76646,0.38751,1.94783,1.37285,2.05537,0.00028475,0.00028475,0.00028475
41,5785.78,1.7542,1.41875,1.81261,0.67826,0.8212,0.79697,0.41977,1.83641,1.17901,2.01368,0.00026,0.00026,0.00026
42,5914.14,1.74407,1.32772,1.80449,0.80328,0.79766,0.84374,0.43918,1.80879,1.15508,1.99922,0.00023525,0.00023525,0.00023525
43,6049.67,1.71077,1.31476,1.80903,0.81758,0.81438,0.86232,0.45616,1.80969,1.13553,2.04241,0.0002105,0.0002105,0.0002105
